id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2992450,Luxury 2 bedroom apartment,4621559,Kenneth,C,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,9,17-08-2022,0.07,1,158,0,
3820211,Restored Precinct in Center Sq. w/Parking,19648678,Terra,F,SIXTH WARD,42.65222,-73.76724,Entire home/apt,116,2,305,31-07-2024,2.49,4,336,16,
5651579,Large studio apt  by Capital Center & ESP@,29288920,Gregg,B,SECOND WARD,42.64615,-73.75966,Entire home/apt,75,2,366,27-08-2024,3.22,2,34,40,
6623339,Center Sq. Loft in Converted Precinct w/ Parking,19648678,Terra,F,SIXTH WARD,42.65222,-73.76724,Entire home/apt,116,2,328,31-07-2024,2.91,4,279,25,
8035768,Entire Beautiful French Victorian 1884,42430824,John M,J,TENTH WARD,42.66088,-73.78147,Entire home/apt,305,2,56,28-01-2024,0.51,2,362,4,
8035784,Delightful French Victorian,42430824,John M,J,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,25-07-2020,0.17,2,179,0,
9005989,"Studio in The heart of Center SQ, in Albany NY",17766924,Sugey,F,SIXTH WARD,42.65559,-73.76506,Entire home/apt,86,1,598,17-07-2024,6.08,1,159,34,
9501054,Spacious suite with full bath by Capital  Center,29288920,Gregg,B,SECOND WARD,42.64734,-73.75851,Private room,65,1,392,28-08-2024,3.75,2,71,39,
10768745,Alb hospital area studio bath wifi. (Red),5691268,Elizabeth,N,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,50,1,697,30-08-2024,6.67,2,123,116,
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,Peter,O,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,214,1,158,22-05-2024,1.57,9,354,30,
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,Adam,K,ELEVENTH WARD,42.67583,-73.78297,Private room,55,1,231,29-02-2024,2.29,2,365,8,
12284708,"Well Lit Modern Room, Perfect Location Albany",36438637,Chad,J,TENTH WARD,42.65912,-73.78349,Private room,45,18,61,26-10-2019,0.6,4,308,0,
12799126,Private Room in the Hearth of the Albany,69729286,Musab,F,SIXTH WARD,42.65154,-73.76867,Private room,50,5,28,06-02-2024,0.57,2,307,2,
13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms,1364123,Akhilesh,O,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,184,26-08-2024,1.85,1,316,18,
14316232,"Unique Modern Room, Perfect Location Albany",36438637,Chad,J,TENTH WARD,42.65726,-73.78219,Private room,45,18,51,02-09-2024,0.52,4,333,4,
14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,4259750,Peter,O,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,243,1,100,31-07-2024,1.05,9,287,20,
15580397,Albany Med/Downtown Albany/Colleges/BLUE ROOM.,89705052,Share,I,NINTH WARD,42.65651,-73.77887,Private room,60,2,43,31-07-2024,0.49,4,92,6,
16531782,On a little park in Albany pine hills. (Blue),5691268,Elizabeth,N,FOURTEENTH WARD,42.66075,-73.80605,Entire home/apt,70,1,425,28-08-2024,8.16,2,318,127,
17238066,"$53($25 foreign student)Twin, noa/cno
Smoke freeBF",61700428,Adam,E,FIFTH WARD,42.67614,-73.78169,Private room,53,3,132,01-08-2024,1.47,2,364,3,
17514620,Cozy Modern Room Perfect Location Albany,36438637,Chad,J,TENTH WARD,42.6584,-73.78309,Private room,45,18,54,07-04-2024,0.59,4,338,3,
18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,4259750,Peter,O,FIFTEENTH WARD,42.67637,-73.82395,Entire home/apt,430,1,58,13-08-2024,0.73,9,365,1,
19527043,Charming 1 Bedroom in a Historic Residential Home,15223767,Ed,I,NINTH WARD,42.65312,-73.78161,Private room,70,1,80,30-08-2024,1.12,3,242,10,
19571496,Modern Studio Perfect Location Albany,36438637,Chad,J,TENTH WARD,42.6585,-73.78414,Private room,50,18,27,17-02-2024,0.36,4,338,2,
20519885,All The Comforts Of Home For You In Albany,67171774,Michael And Flerida,N,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,275,4,101,06-07-2024,1.21,1,326,16,
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,4259750,Peter,O,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,198,4,57,22-07-2024,0.68,9,363,2,
20633175,"Garden Apartment, on the Park, close to Capital.",65414985,James,G,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,126,2,131,12-05-2024,1.67,2,328,1,
20671966,The Metropolitan,98744672,Bela,I,NINTH WARD,42.65532,-73.78244,Entire home/apt,75,2,41,21-05-2024,0.48,8,316,2,
21052414,Cozy bedroom with (2) walk-in closets,135717458,Chad,M,THIRTEENTH WARD,42.66565,-73.77975,Private room,40,18,42,26-07-2024,0.56,3,333,5,
21392315,The Blair Suite,98744672,Bela,I,NINTH WARD,42.65372,-73.78244,Entire home/apt,75,2,119,23-08-2024,1.44,8,335,18,
21449583,/zBig Blue Ranch\ 1962 SUNY Eagle Hill 4Beds 2Bath,4259750,Peter,O,FIFTEENTH WARD,42.67547,-73.82402,Entire home/apt,570,4,8,27-07-2018,0.1,9,365,0,
